technology,carrier,province,year,share,target_mw_before_existing_stock_adjustment,lower_limit_mw_before_existing_stock_adjustment,upper_limit_mw_before_existing_stock_adjustment,national_target_mw,lower_multiplier,upper_multiplier,allocation_basis,national_source_note
Battery storage power,battery,InnerMongolia,2030,0.148971,55119.117242,0.0,55119.117242,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Jiangsu,2030,0.07753,28686.254863,0.0,28686.254863,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Jiangxi,2030,0.012882,4766.239303,0.0,4766.239303,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Jilin,2030,0.00498,1842.521089,0.0,1842.521089,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Liaoning,2030,0.007222,2672.036598,0.0,2672.036598,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Ningxia,2030,0.064564,23888.726074,0.0,23888.726074,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Qinghai,2030,0.032516,12030.917191,0.0,12030.917191,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Shaanxi,2030,0.018508,6847.878332,0.0,6847.878332,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Shandong,2030,0.082426,30497.793893,0.0,30497.793893,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Shanghai,2030,0.001656,612.826098,0.0,612.826098,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Shanxi,2030,0.027586,10206.947793,0.0,10206.947793,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Sichuan,2030,0.005637,2085.676382,0.0,2085.676382,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Tianjin,2030,0.002408,890.979038,0.0,890.979038,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Tibet,2030,0.001455,538.355437,0.0,538.355437,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Xinjiang,2030,0.138235,51147.058447,0.0,51147.058447,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Yunnan,2030,0.036765,13602.941076,0.0,13602.941076,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Zhejiang,2030,0.038097,14095.832764,0.0,14095.832764,370000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,储能产业研究白皮书2026 / NEA 2030年累计超3.7亿千瓦
Battery storage power,battery,Anhui,2035,0.025064,12030.582264,0.0,12030.582264,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Beijing,2035,0.00066,316.612939,0.0,316.612939,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Chongqing,2035,0.001453,697.242348,0.0,697.242348,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Fujian,2035,0.005485,2632.994098,0.0,2632.994098,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Gansu,2035,0.046619,22376.883365,0.0,22376.883365,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Guangdong,2035,0.053803,25825.651575,0.0,25825.651575,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Guangxi,2035,0.007324,3515.315268,0.0,3515.315268,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Guizhou,2035,0.015101,7248.299947,0.0,7248.299947,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Hainan,2035,0.001541,739.729406,0.0,739.729406,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Hebei,2035,0.048958,23499.737474,0.0,23499.737474,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Heilongjiang,2035,0.005153,2473.524688,0.0,2473.524688,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Henan,2035,0.036765,17647.058694,0.0,17647.058694,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Hubei,2035,0.011538,5538.367018,0.0,5538.367018,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Hunan,2035,0.039099,18767.706921,0.0,18767.706921,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,InnerMongolia,2035,0.148971,71505.881827,0.0,71505.881827,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Jiangsu,2035,0.07753,37214.600903,0.0,37214.600903,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Jiangxi,2035,0.012882,6183.229366,0.0,6183.229366,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Jilin,2035,0.00498,2390.297629,0.0,2390.297629,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Liaoning,2035,0.007222,3466.425857,0.0,3466.425857,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Ningxia,2035,0.064564,30990.779772,0.0,30990.779772,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Qinghai,2035,0.032516,15607.676356,0.0,15607.676356,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Shaanxi,2035,0.018508,8883.734052,0.0,8883.734052,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Shandong,2035,0.082426,39564.705591,0.0,39564.705591,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Shanghai,2035,0.001656,795.017641,0.0,795.017641,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Shanxi,2035,0.027586,13241.445785,0.0,13241.445785,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Sichuan,2035,0.005637,2705.742333,0.0,2705.742333,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Tianjin,2035,0.002408,1155.864697,0.0,1155.864697,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Tibet,2035,0.001455,698.407054,0.0,698.407054,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Xinjiang,2035,0.138235,66352.940689,0.0,66352.940689,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Yunnan,2035,0.036765,17647.058694,0.0,17647.058694,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Zhejiang,2035,0.038097,18286.485748,0.0,18286.485748,480000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（2030后约30%增量，供参考）
Battery storage power,battery,Anhui,2040,0.025064,15038.227831,0.0,15038.227831,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Beijing,2040,0.00066,395.766174,0.0,395.766174,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Chongqing,2040,0.001453,871.552935,0.0,871.552935,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Fujian,2040,0.005485,3291.242623,0.0,3291.242623,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Gansu,2040,0.046619,27971.104206,0.0,27971.104206,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guangdong,2040,0.053803,32282.064469,0.0,32282.064469,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guangxi,2040,0.007324,4394.144085,0.0,4394.144085,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guizhou,2040,0.015101,9060.374933,0.0,9060.374933,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hainan,2040,0.001541,924.661758,0.0,924.661758,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hebei,2040,0.048958,29374.671843,0.0,29374.671843,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Heilongjiang,2040,0.005153,3091.90586,0.0,3091.90586,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Henan,2040,0.036765,22058.823367,0.0,22058.823367,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hubei,2040,0.011538,6922.958773,0.0,6922.958773,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hunan,2040,0.039099,23459.633651,0.0,23459.633651,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,InnerMongolia,2040,0.148971,89382.352284,0.0,89382.352284,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Jiangsu,2040,0.07753,46518.251129,0.0,46518.251129,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Jiangxi,2040,0.012882,7729.036708,0.0,7729.036708,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Jilin,2040,0.00498,2987.872037,0.0,2987.872037,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Liaoning,2040,0.007222,4333.032321,0.0,4333.032321,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Ningxia,2040,0.064564,38738.474715,0.0,38738.474715,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Qinghai,2040,0.032516,19509.595445,0.0,19509.595445,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shaanxi,2040,0.018508,11104.667565,0.0,11104.667565,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shandong,2040,0.082426,49455.881989,0.0,49455.881989,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shanghai,2040,0.001656,993.772052,0.0,993.772052,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shanxi,2040,0.027586,16551.807231,0.0,16551.807231,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Sichuan,2040,0.005637,3382.177916,0.0,3382.177916,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Tianjin,2040,0.002408,1444.830872,0.0,1444.830872,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Tibet,2040,0.001455,873.008817,0.0,873.008817,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Xinjiang,2040,0.138235,82941.175861,0.0,82941.175861,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Yunnan,2040,0.036765,22058.823367,0.0,22058.823367,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Zhejiang,2040,0.038097,22858.107185,0.0,22858.107185,600000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Anhui,2045,0.025064,18045.873397,0.0,18045.873397,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Beijing,2045,0.00066,474.919408,0.0,474.919408,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Chongqing,2045,0.001453,1045.863522,0.0,1045.863522,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Fujian,2045,0.005485,3949.491147,0.0,3949.491147,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Gansu,2045,0.046619,33565.325047,0.0,33565.325047,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guangdong,2045,0.053803,38738.477362,0.0,38738.477362,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guangxi,2045,0.007324,5272.972902,0.0,5272.972902,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guizhou,2045,0.015101,10872.44992,0.0,10872.44992,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hainan,2045,0.001541,1109.594109,0.0,1109.594109,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hebei,2045,0.048958,35249.606211,0.0,35249.606211,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Heilongjiang,2045,0.005153,3710.287032,0.0,3710.287032,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Henan,2045,0.036765,26470.588041,0.0,26470.588041,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hubei,2045,0.011538,8307.550527,0.0,8307.550527,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hunan,2045,0.039099,28151.560381,0.0,28151.560381,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,InnerMongolia,2045,0.148971,107258.822741,0.0,107258.822741,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Jiangsu,2045,0.07753,55821.901354,0.0,55821.901354,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Jiangxi,2045,0.012882,9274.844049,0.0,9274.844049,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Jilin,2045,0.00498,3585.446444,0.0,3585.446444,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Liaoning,2045,0.007222,5199.638785,0.0,5199.638785,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Ningxia,2045,0.064564,46486.169658,0.0,46486.169658,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Qinghai,2045,0.032516,23411.514534,0.0,23411.514534,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shaanxi,2045,0.018508,13325.601078,0.0,13325.601078,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shandong,2045,0.082426,59347.058387,0.0,59347.058387,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shanghai,2045,0.001656,1192.526462,0.0,1192.526462,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Shanxi,2045,0.027586,19862.168677,0.0,19862.168677,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Sichuan,2045,0.005637,4058.6135,0.0,4058.6135,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Tianjin,2045,0.002408,1733.797046,0.0,1733.797046,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Tibet,2045,0.001455,1047.610581,0.0,1047.610581,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Xinjiang,2045,0.138235,99529.411033,0.0,99529.411033,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Yunnan,2045,0.036765,26470.588041,0.0,26470.588041,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Zhejiang,2045,0.038097,27429.728622,0.0,27429.728622,720000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Anhui,2050,0.025064,21304.156093,0.0,21304.156093,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Beijing,2050,0.00066,560.668746,0.0,560.668746,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Chongqing,2050,0.001453,1234.699991,0.0,1234.699991,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Fujian,2050,0.005485,4662.593716,0.0,4662.593716,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Gansu,2050,0.046619,39625.730959,0.0,39625.730959,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guangdong,2050,0.053803,45732.924664,0.0,45732.924664,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guangxi,2050,0.007324,6225.037454,0.0,6225.037454,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Guizhou,2050,0.015101,12835.531156,0.0,12835.531156,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hainan,2050,0.001541,1309.93749,0.0,1309.93749,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hebei,2050,0.048958,41614.118444,0.0,41614.118444,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Heilongjiang,2050,0.005153,4380.199968,0.0,4380.199968,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Henan,2050,0.036765,31249.99977,0.0,31249.99977,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hubei,2050,0.011538,9807.524928,0.0,9807.524928,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,Hunan,2050,0.039099,33234.481006,0.0,33234.481006,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
Battery storage power,battery,InnerMongolia,2050,0.148971,126624.999069,0.0,126624.999069,850000.0,0.0,1.0,data/existing_infrastructure/battery_capacity.csv: 2025,白皮书趋势外推（供参考）
